Waterbody Name,County,DEC Region,Year,Bloom Type,Date of First Listing,Date of Last Listing,Number of Weeks on DEC Notification List,Number of Weeks with Updates,Latitude,Longitude,Location 1,Column1,Column2
Morningside Pond,New York,2,2018,HT,6/8/2018,10/19/2018,19,10,40.803761,-73.958943,"(40.803761, -73.958943)",,
Maratooka Lake,Suffolk,1,2018,HT,6/15/2018,10/27/2018,19,8,40.991885,-72.523684,"(40.991885, -72.523684)",,
Roaring Brook Lake,Putnam,3,2018,HT,5/25/2018,10/2/2018,19,12,41.4388008,-73.8075027,"(41.4388008, -73.8075027)",,
Lake Mahopac,Putnam,3,2018,S,6/8/2018,10/20/2018,19,2,41.35558,-73.7784,"(41.35558, -73.7784)",,
Lamoka Lake,Schuyler,8,2017,S,6/10/2017,10/20/2017,19,1,42.4057999,-77.0777969,"(42.4057999, -77.0777969)",,
Roaring Brook Lake,Putnam,3,2017,HT,6/9/2017,10/20/2017,19,8,41.4388008,-73.8075027,"(41.4388008, -73.8075027)",,
Muchattoes Lake,Orange,3,2017,C,6/10/2017,10/20/2017,19,1,41.4968987,-74.0309982,"(41.4968987, -74.0309982)",,
Lake Lacoma,Monroe,8,2017,C,6/9/2017,10/20/2017,19,6,43.0508995,-77.4794006,"(43.0508995, -77.4794006)",,
Cazenovia Lake,Madison,7,2016,C,6/17/2016,10/27/2016,19,1,42.9482002,-75.8720016,"(42.9482002, -75.8720016)",,
Bowne Pond,Queens,2,2016,C,6/17/2016,10/27/2016,19,11,40.770707,-73.808255,"(40.770707, -73.808255)",,
Prospect Park Lake,Kings,2,2016,HT,6/17/2016,10/27/2016,19,19,40.6548996,-73.969902,"(40.6548996, -73.969902)",,
Montgomery Lake,Sullivan,3,2016,C,6/10/2016,10/20/2016,19,7,41.5252991,-74.9172974,"(41.5252991, -74.9172974)",,
Avon Marsh Dam Pond,Livingston,8,2015,HT,7/8/2015,11/15/2015,19,8,42.9011002,-77.668602,"(42.9011002, -77.668602)",,
Lake Lincolndale,Westchester,3,2014,HT,6/14/2014,10/27/2014,19,3,41.3419991,-73.7254028,"(41.3419991, -73.7254028)",,
Quaker Lake,Cattaraugus,9,2014,S,6/16/2014,10/27/2014,19,2,42.0433006,-78.8677979,"(42.0433006, -78.8677979)",,
Lake Waccabuc,Westchester,3,2013,C,6/16/2013,10/27/2013,19,2,41.297699,-73.5840988,"(41.297699, -73.5840988)",,
Bowne Pond,Queens,2,2012,S,6/17/2012,10/27/2012,19,1,40.770707,-73.808255,"(40.770707, -73.808255)",,
Beaver Lake,Broome,7,2012,C,6/18/2012,10/27/2012,19,5,42.0455017,-75.6657028,"(42.0455017, -75.6657028)",,
Loon Lake,Warren,5,2012,C,6/16/2012,10/27/2012,19,1,43.6670691,-73.8478694,"(43.6670691, -73.8478694)",,
Sylvan Lake,Dutchess,3,2018,S,6/15/2018,10/20/2018,18,1,41.58839,-73.69782,"(41.58839, -73.69782)",,
Lake Lacoma,Monroe,7,2018,C,6/15/2018,10/20/2018,18,1,43.0508995,-77.4794006,"(43.0508995, -77.4794006)",,
Roth Pond,Suffolk,1,2018,HT,5/25/2018,9/29/2018,18,16,40.911804,-73.123789,"(40.911804, -73.123789)",,
Beaver Dam Lake,Orange,3,2018,HT,6/8/2018,10/12/2018,18,10,41.4420013,-74.1158981,"(41.4420013, -74.1158981)",,
Cazenovia Lake,Madison,7,2018,C,6/7/2018,10/13/2018,18,5,42.9482002,-75.8720016,"(42.9482002, -75.8720016)",,
Burden Third Lake,Rensselaer,5,2017,C,6/16/2017,10/20/2017,18,1,42.5946999,-73.5614014,"(42.5946999, -73.5614014)",,
Glen Lake,Warren,5,2017,C,6/16/2017,10/20/2017,18,1,43.3636017,-73.6732025,"(43.3636017, -73.6732025)",,
Chautauqua Lake,Chautauqua,9,2017,HT,6/25/2017,10/27/2017,18,15,42.156238,-79.393483,"(42.156238, -79.393483)",,
Mill Pond (Watermill),Suffolk,1,2017,C,5/26/2017,10/2/2017,18,18,40.9145012,-72.3582993,"(40.9145012, -72.3582993)",,
Tuscarora Lake,Madison,7,2017,C,6/10/2017,10/13/2017,18,1,42.8665009,-75.7585983,"(42.8665009, -75.7585983)",,
Cayuta Lake,Schuyler,8,2017,HT,6/25/2017,10/27/2017,18,7,42.3670006,-76.7352982,"(42.3670006, -76.7352982)",,
Goose Pond,Queens,2,2017,HT,5/26/2017,10/2/2017,18,1,40.7118988,-73.7986984,"(40.7118988, -73.7986984)",,
Old Town Pond,Suffolk,1,2017,C,6/25/2017,10/27/2017,18,16,40.878721,-72.372558,"(40.878721, -72.372558)",,
Maratooka Lake,Suffolk,1,2016,HT,6/10/2016,10/13/2016,18,11,40.991885,-72.523684,"(40.991885, -72.523684)",,
Moon Lake,Jefferson,6,2016,S,6/24/2016,10/27/2016,18,6,44.2542992,-75.732399,"(44.2542992, -75.732399)",,
Lake Mohegan,Westchester,3,2015,C,6/26/2015,10/27/2015,18,2,41.3139992,-73.8488007,"(41.3139992, -73.8488007)",,
Orange Lake,Orange,3,2015,C,5/29/2015,10/2/2015,18,10,41.5488014,-74.1036987,"(41.5488014, -74.1036987)",,
Big Reed Pond,Suffolk,1,2015,C,5/29/2015,9/29/2015,18,2,41.0780983,-71.9101028,"(41.0780983, -71.9101028)",,
Golden Pond,Queens,2,2015,S,6/8/2015,10/13/2015,18,1,40.7710991,-73.7649002,"(40.7710991, -73.7649002)",,
Lake Neatahwanta,Oswego,7,2014,HT,6/25/2014,10/27/2014,18,14,43.3081017,-76.4372025,"(43.3081017, -76.4372025)",,
Arctic Lake,Broome,7,2014,S,3/10/2014,7/17/2014,18,4,42.1792984,-75.4252014,"(42.1792984, -75.4252014)",,
Echo Lake,Chenango,7,2013,C,5/29/2013,9/29/2013,18,3,42.3862991,-75.8507004,"(42.3862991, -75.8507004)",,
Song Lake,Cortland,7,2018,C,6/22/2018,10/20/2018,17,2,42.7723007,-76.146864,"(42.7723007, -76.146864)",,
Kissena Lake,Queens,2,2018,C,6/22/2018,10/20/2018,17,9,40.7481003,-73.8054962,"(40.7481003, -73.8054962)",,
Oneida Lake,Onondaga,7,2018,S,6/29/2018,10/27/2018,17,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Turtle Pond,New York,2,2018,HT,6/22/2018,10/20/2018,17,17,40.7793007,-73.9673996,"(40.7793007, -73.9673996)",,
Lake Mohegan,Westchester,3,2018,C,6/22/2018,10/19/2018,17,7,41.3139992,-73.8488007,"(41.3139992, -73.8488007)",,
Lake Neatahwanta,Oswego,7,2018,HT,6/22/2018,10/19/2018,17,16,43.3081017,-76.4372025,"(43.3081017, -76.4372025)",,
Indian Lake,Putnam,3,2018,C,6/29/2018,10/27/2018,17,1,41.3731003,-73.8877029,"(41.3731003, -73.8877029)",,
Beaver Dam Lake,Orange,3,2017,C,6/30/2017,10/27/2017,17,6,41.4420013,-74.1158981,"(41.4420013, -74.1158981)",,
Oneida Lake,Oneida,6,2017,HT,6/30/2017,10/27/2017,17,7,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Oneida Lake,Oswego,7,2017,HT,6/30/2017,10/27/2017,17,7,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Hiawatha Lake,Onondaga,7,2017,HT,6/30/2017,10/27/2017,17,5,43.0257988,-76.1687012,"(43.0257988, -76.1687012)",,
Lake Neatahwanta,Oswego,7,2016,HT,6/2/2016,9/29/2016,17,12,43.3081017,-76.4372025,"(43.3081017, -76.4372025)",,
Craine Lake,Madison,7,2016,HT,6/24/2016,10/20/2016,17,5,42.76085,-75.55753,"(42.76085, -75.55753)",,
Conesus Lake,Livingston,8,2016,C,6/24/2016,10/20/2016,17,4,42.7522011,-77.7186966,"(42.7522011, -77.7186966)",,
Avon Marsh Dam Pond,Livingston,8,2016,HT,6/17/2016,10/14/2016,17,8,42.9011002,-77.668602,"(42.9011002, -77.668602)",,
Clove Lake,Richmond,2,2015,S,6/8/2015,10/2/2015,17,1,40.6167984,-74.1075974,"(40.6167984, -74.1075974)",,
Boyd Lake,Jefferson,6,2014,HT,6/19/2014,10/16/2014,17,7,44.3093987,-75.7397003,"(44.3093987, -75.7397003)",,
Smith Pond,Steuben,8,2014,C,6/29/2014,10/27/2014,17,3,42.3888016,-77.4744034,"(42.3888016, -77.4744034)",,
Kissena Lake,Queens,2,2014,HT,5/30/2014,9/29/2014,17,6,40.7481003,-73.8054962,"(40.7481003, -73.8054962)",,
East Branch Hackensack River,Rockland,3,2014,S,6/25/2014,10/20/2014,17,1,41.121117,-73.960648,"(41.121117, -73.960648)",,
Tuscarora Lake,Madison,7,2013,C,6/27/2013,10/27/2013,17,3,42.8665009,-75.7585983,"(42.8665009, -75.7585983)",,
Lake Neatahwanta,Oswego,7,2012,S,6/28/2012,10/27/2012,17,5,43.3081017,-76.4372025,"(43.3081017, -76.4372025)",,
Laurel Lake,Suffolk,1,2018,C,6/29/2018,10/20/2018,16,1,40.9789009,-72.5575027,"(40.9789009, -72.5575027)",,
Croton Falls Reservoir,Putnam,3,2018,S,3/8/2018,6/30/2018,16,1,41.3781013,-73.6547012,"(41.3781013, -73.6547012)",,
Indian Lake,Bronx,2,2018,C,6/22/2018,10/13/2018,16,7,41.3731003,-73.8877029,"(41.3731003, -73.8877029)",,
Paine Lake,Westchester,3,2018,HT,3/8/2018,6/30/2018,16,3,41.548,-73.69487,"(41.548, -73.69487)",,
Harlem Meer,New York,2,2018,HT,6/8/2018,9/28/2018,16,16,40.7961006,-73.9512024,"(40.7961006, -73.9512024)",,
Smith Pond,Steuben,8,2018,C,6/29/2018,10/20/2018,16,6,42.3888016,-77.4744034,"(42.3888016, -77.4744034)",,
Lawson Lake,Albany,4,2018,C,6/7/2018,9/29/2018,16,2,42.5391006,-73.9598999,"(42.5391006, -73.9598999)",,
Barger Pond,Putnam,3,2018,C,6/7/2018,9/29/2018,16,3,41.3595009,-73.8126984,"(41.3595009, -73.8126984)",,
Jamesville Reservoir,Onondaga,7,2018,C,6/29/2018,10/20/2018,16,3,42.973999,-76.0690994,"(42.973999, -76.0690994)",,
Oneida Lake,Madison,7,2018,S,6/29/2018,10/20/2018,16,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Delta Lake,Oneida,6,2018,S,7/9/2018,10/27/2018,16,1,43.29321,-75.47231,"(43.29321, -75.47231)",,
Town of Babylon Pond,Suffolk,1,2018,C,7/9/2018,10/27/2018,16,1,40.70963,-73.32589,"(40.70963, -73.32589)",,
Lake Carmel,Putnam,3,2018,C,6/29/2018,10/20/2018,16,3,41.4584999,-73.6650009,"(41.4584999, -73.6650009)",,
Washington Park Pond,Albany,4,2018,HT,6/29/2018,10/19/2018,16,7,42.6571007,-73.7733002,"(42.6571007, -73.7733002)",,
Turtle Pond,New York,2,2017,HT,7/7/2017,10/27/2017,16,16,40.7793007,-73.9673996,"(40.7793007, -73.9673996)",,
Indian Lake,Putnam,3,2017,C,7/7/2017,10/27/2017,16,1,41.3731003,-73.8877029,"(41.3731003, -73.8877029)",,
Bowne Pond,Queens,2,2017,C,6/9/2017,9/29/2017,16,4,40.770707,-73.808255,"(40.770707, -73.808255)",,
Sodus Bay,Wayne,8,2017,C,6/30/2017,10/20/2017,16,1,43.2482986,-76.9585037,"(43.2482986, -76.9585037)",,
Maratooka Lake,Suffolk,1,2017,C,6/9/2017,9/29/2017,16,10,40.991885,-72.523684,"(40.991885, -72.523684)",,
Dean Pond,Cortland,7,2017,HT,6/9/2017,9/29/2017,16,7,42.4477005,-76.0034027,"(42.4477005, -76.0034027)",,
Beaver Lake,Broome,7,2017,C,6/30/2017,10/20/2017,16,3,42.0455017,-75.6657028,"(42.0455017, -75.6657028)",,
Java Lake,Wyoming,8,2017,HT,7/7/2017,10/27/2017,16,11,42.6313019,-78.3439026,"(42.6313019, -78.3439026)",,
Old Town Pond,Suffolk,1,2016,C,6/24/2016,10/13/2016,16,11,40.878721,-72.372558,"(40.878721, -72.372558)",,
Roaring Brook Lake,Putnam,3,2016,C,7/1/2016,10/20/2016,16,1,41.4388008,-73.8075027,"(41.4388008, -73.8075027)",,
Harlem Meer,New York,2,2016,HT,7/8/2016,10/27/2016,16,16,40.7961006,-73.9512024,"(40.7961006, -73.9512024)",,
Chautauqua Lake,Chautauqua,9,2016,HT,7/11/2016,10/28/2016,16,12,42.156238,-79.393483,"(42.156238, -79.393483)",,
New Rochelle Reservoir No.3,Westchester,3,2016,S,7/10/2016,10/27/2016,16,2,40.9463005,-73.8013,"(40.9463005, -73.8013)",,
Wainscott Pond,Suffolk,1,2016,C,6/10/2016,9/30/2016,16,13,40.9292984,-72.2425995,"(40.9292984, -72.2425995)",,
Oneida Lake,Oneida,6,2015,S,3/7/2015,6/30/2015,16,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Oneida Lake,Madison,7,2015,S,3/7/2015,6/30/2015,16,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Oneida Lake,Onondaga,7,2014,S,7/10/2014,10/27/2014,16,3,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Fresh Pond (Hither Hills SP),Suffolk,1,2014,S,7/8/2014,10/27/2014,16,1,41.0158997,-72.024498,"(41.0158997, -72.024498)",,
Lime Lake,Cattaraugus,9,2014,HT,6/29/2014,10/20/2014,16,1,42.4273987,-78.4792023,"(42.4273987, -78.4792023)",,
Chautauqua Lake,Chautauqua,9,2014,HT,6/30/2014,10/20/2014,16,11,42.156238,-79.393483,"(42.156238, -79.393483)",,
Grassy Sprain Reservoir,Westchester,3,2014,C,3/11/2014,6/30/2014,16,1,40.9780998,-73.8475037,"(40.9780998, -73.8475037)",,
Oneida Lake,Madison,7,2014,S,7/10/2014,10/27/2014,16,3,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Mariaville Lake,Schenectady,4,2014,C,3/8/2014,6/30/2014,16,1,42.8336983,-74.1119003,"(42.8336983, -74.1119003)",,
Honeoye Lake,Ontario,8,2014,HT,6/27/2014,10/20/2014,16,8,42.7542,-77.5115967,"(42.7542, -77.5115967)",,
Mill Pond,Genesee,8,2014,C,7/8/2014,10/27/2014,16,1,43.08393,-78.05583,"(43.08393, -78.05583)",,
Putnam Lake,Putnam,3,2013,HT,6/26/2013,10/14/2013,16,9,41.4664001,-73.5395966,"(41.4664001, -73.5395966)",,
Oneida Lake,Oneida,6,2013,C,7/1/2013,10/20/2013,16,8,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Butterfield Lake,Jefferson,6,2013,C,7/3/2013,10/20/2013,16,8,44.3165016,-75.7751999,"(44.3165016, -75.7751999)",,
Bedford Lake,Westchester,3,2013,C,7/7/2013,10/27/2013,16,1,41.1948013,-73.7036972,"(41.1948013, -73.7036972)",,
Lake Sunnyside,Warren,5,2013,C,6/29/2013,10/20/2013,16,5,43.3753014,-73.6397018,"(43.3753014, -73.6397018)",,
Chautauqua Lake,Chautauqua,9,2013,HT,7/16/2013,11/4/2013,16,11,42.156238,-79.393483,"(42.156238, -79.393483)",,
Lake Lincolndale,Westchester,3,2013,C,6/15/2013,10/2/2013,16,8,41.3419991,-73.7254028,"(41.3419991, -73.7254028)",,
Oneida Lake,Onondaga,7,2013,C,7/1/2013,10/20/2013,16,8,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Peach Lake,Putnam,3,2013,HT,7/10/2013,10/27/2013,16,9,41.362999,-73.5800018,"(41.362999, -73.5800018)",,
Beaver Lake,Broome,7,2013,HT,6/9/2013,9/29/2013,16,9,42.0455017,-75.6657028,"(42.0455017, -75.6657028)",,
Lake Waccabuc,Westchester,3,2012,C,6/22/2012,10/13/2012,16,4,41.297699,-73.5840988,"(41.297699, -73.5840988)",,
Song Lake,Cortland,7,2012,HT,6/22/2012,10/13/2012,16,5,42.7723007,-76.146864,"(42.7723007, -76.146864)",,
Somerset Lake,Delaware,4,2012,C,7/2/2012,10/20/2012,16,4,41.9101982,-75.2289963,"(41.9101982, -75.2289963)",,
Oneida Lake,Oswego,7,2018,S,6/29/2018,10/13/2018,15,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Montgomery Lake,Sullivan,3,2018,C,7/13/2018,10/27/2018,15,6,41.5252991,-74.9172974,"(41.5252991, -74.9172974)",,
Big Bowman Pond,Rensselaer,5,2018,C,6/22/2018,10/2/2018,15,1,42.6483002,-73.487999,"(42.6483002, -73.487999)",,
New Rochelle Reservoir No.3,Westchester,3,2018,S,6/15/2018,9/29/2018,15,1,40.9463005,-73.8013,"(40.9463005, -73.8013)",,
Conesus Lake,Livingston,8,2018,C,6/22/2018,10/2/2018,15,6,42.7522011,-77.7186966,"(42.7522011, -77.7186966)",,
Clove Lake,Richmond,2,2018,HT,7/13/2018,10/27/2018,15,3,40.6167984,-74.1075974,"(40.6167984, -74.1075974)",,
Allegheny Reservoir,Cattaraugus,9,2017,C,7/7/2017,10/20/2017,15,11,42.05595,-78.89069,"(42.05595, -78.89069)",,
Nassau Lake,Rensselaer,5,2017,C,7/7/2017,10/20/2017,15,8,42.5381012,-73.6037979,"(42.5381012, -73.6037979)",,
Lake Carmel,Putnam,3,2017,C,7/7/2017,10/20/2017,15,5,41.4584999,-73.6650009,"(41.4584999, -73.6650009)",,
Plymouth Reservoir,Chenango,7,2017,HT,6/30/2017,10/13/2017,15,12,42.5881004,-75.651001,"(42.5881004, -75.651001)",,
Oneida Lake,Onondaga,7,2017,HT,6/30/2017,10/13/2017,15,7,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Lake Moraine,Madison,7,2017,C,6/16/2017,10/2/2017,15,1,42.8502007,-75.5222015,"(42.8502007, -75.5222015)",,
Red House Lake,Cattaraugus,9,2017,S,7/14/2017,10/27/2017,15,1,42.1027985,-78.7445984,"(42.1027985, -78.7445984)",,
Goodliffe Pond,Westchester,3,2016,S,7/10/2016,10/20/2016,15,1,40.950901,-73.7714005,"(40.950901, -73.7714005)",,
Black Lake,St Lawrence,6,2016,C,7/15/2016,10/27/2016,15,5,44.5379982,-75.5688019,"(44.5379982, -75.5688019)",,
Fieldston's Indian Lake (aka: Indian Pond in Crotona Park),Bronx,2,2016,HT,6/24/2016,10/7/2016,15,11,40.8382988,-73.8940964,"(40.8382988, -73.8940964)",,
Lake Huntington,Sullivan,3,2016,S,7/15/2016,10/27/2016,15,1,41.6828995,-74.9904022,"(41.6828995, -74.9904022)",,
Spring Lake,Suffolk,1,2016,C,7/1/2016,10/13/2016,15,1,40.8737984,-72.9587021,"(40.8737984, -72.9587021)",,
Evens Lake,Sullivan,3,2016,HT,7/1/2016,10/13/2016,15,2,41.765001,-74.652425,"(41.765001, -74.652425)",,
Lake Como,Cayuga,7,2015,HT,7/8/2015,10/20/2015,15,5,42.6772003,-76.3024979,"(42.6772003, -76.3024979)",,
Smith Pond,Steuben,8,2015,C,6/19/2015,9/29/2015,15,4,42.3888016,-77.4744034,"(42.3888016, -77.4744034)",,
Lake Boyce,Rockland,3,2015,S,7/14/2015,10/27/2015,15,1,41.2475014,-74.0034027,"(41.2475014, -74.0034027)",,
Mallet Pond,Schoharie,4,2015,C,7/8/2015,10/20/2015,15,1,42.586096,-74.5213227,"(42.586096, -74.5213227)",,
Loon Lake,Warren,5,2015,C,6/19/2015,9/29/2015,15,1,43.6670691,-73.8478694,"(43.6670691, -73.8478694)",,
Java Lake,Wyoming,8,2015,HT,7/17/2015,10/27/2015,15,4,42.6313019,-78.3439026,"(42.6313019, -78.3439026)",,
Fieldston's Indian Lake (aka: Indian Pond in Crotona Park),Bronx,2,2015,C,6/26/2015,10/9/2015,15,6,40.8382988,-73.8940964,"(40.8382988, -73.8940964)",,
Kiamesha Lake,Sullivan,3,2015,C,7/17/2015,10/27/2015,15,2,41.676899,-74.6663971,"(41.676899, -74.6663971)",,
Old Town Pond,Suffolk,1,2015,C,7/17/2015,10/27/2015,15,5,40.878721,-72.372558,"(40.878721, -72.372558)",,
Wainscott Pond,Suffolk,1,2015,C,7/17/2015,10/30/2015,15,10,40.9292984,-72.2425995,"(40.9292984, -72.2425995)",,
Sagaponack Lake,Suffolk,1,2014,C,7/9/2014,10/20/2014,15,1,40.9104004,-72.2910995,"(40.9104004, -72.2910995)",,
Sodus Bay,Wayne,8,2014,C,6/19/2014,9/29/2014,15,1,43.2482986,-76.9585037,"(43.2482986, -76.9585037)",,
Lime Lake,Cattaraugus,9,2013,C,7/4/2013,10/20/2013,15,2,42.4273987,-78.4792023,"(42.4273987, -78.4792023)",,
Lake Mohegan,Westchester,3,2013,HT,7/14/2013,10/27/2013,15,3,41.3139992,-73.8488007,"(41.3139992, -73.8488007)",,
Cayuta Lake,Schuyler,8,2013,C,7/15/2013,10/27/2013,15,4,42.3670006,-76.7352982,"(42.3670006, -76.7352982)",,
Smith Pond,Steuben,8,2013,HT,6/30/2013,10/13/2013,15,5,42.3888016,-77.4744034,"(42.3888016, -77.4744034)",,
Dean Pond,Cortland,7,2013,HT,7/12/2013,10/27/2013,15,13,42.4477005,-76.0034027,"(42.4477005, -76.0034027)",,
Honeoye Lake,Ontario,8,2013,HT,7/5/2013,10/20/2013,15,13,42.7542,-77.5115967,"(42.7542, -77.5115967)",,
Lake Lucille,Rockland,3,2013,C,7/10/2013,10/20/2013,15,1,41.1837006,-73.9978027,"(41.1837006, -73.9978027)",,
Cayuta Lake,Schuyler,8,2013,C,7/15/2013,10/27/2013,15,15,42.3670006,-76.7352982,"(42.3670006, -76.7352982)",,
Oneida Lake,Oneida,6,2018,S,6/29/2018,10/2/2018,14,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Honeoye Lake,Ontario,8,2017,C,7/7/2017,10/13/2017,14,13,42.7542,-77.5115967,"(42.7542, -77.5115967)",,
Owasco Lake,Cayuga,7,2017,HT,7/21/2017,10/27/2017,14,10,42.8737984,-76.5281982,"(42.8737984, -76.5281982)",,
Conesus Lake,Livingston,8,2017,C,7/14/2017,10/20/2017,14,3,42.7522011,-77.7186966,"(42.7522011, -77.7186966)",,
Nooteeming Lake,Dutchess,3,2017,S,7/14/2017,10/20/2017,14,1,41.7901001,-73.7851028,"(41.7901001, -73.7851028)",,
Mariaville Lake,Schenectady,4,2017,HT,6/25/2017,10/2/2017,14,3,42.8336983,-74.1119003,"(42.8336983, -74.1119003)",,
Morningside Pond,New York,2,2017,C,6/25/2017,9/29/2017,14,3,40.803761,-73.958943,"(40.803761, -73.958943)",,
Sagaponack Lake,Suffolk,1,2016,C,7/22/2016,10/27/2016,14,4,40.9104004,-72.2910995,"(40.9104004, -72.2910995)",,
Georgica Pond,Suffolk,1,2016,C,7/8/2016,10/13/2016,14,7,40.9390984,-72.2291031,"(40.9390984, -72.2291031)",,
Turtle Pond,New York,2,2016,HT,6/24/2016,9/30/2016,14,10,40.7793007,-73.9673996,"(40.7793007, -73.9673996)",,
Allegheny Reservoir,Cattaraugus,9,2015,C,7/10/2015,10/16/2015,14,12,42.05595,-78.89069,"(42.05595, -78.89069)",,
Lake Moraine,Madison,7,2015,C,7/17/2015,10/20/2015,14,2,42.8502007,-75.5222015,"(42.8502007, -75.5222015)",,
Mill Pond,Genesee,8,2015,HT,6/26/2015,9/29/2015,14,6,43.08393,-78.05583,"(43.08393, -78.05583)",,
Andover Pond,Allegany,9,2015,C,7/31/2015,11/9/2015,14,3,42.1655998,-77.793602,"(42.1655998, -77.793602)",,
Oneida Lake,Oneida,6,2014,S,7/10/2014,10/13/2014,14,3,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Allegheny Reservoir,Cattaraugus,9,2014,C,7/9/2014,10/13/2014,14,12,42.05595,-78.89069,"(42.05595, -78.89069)",,
Rockland Lake,Rockland,3,2014,C,6/25/2014,9/29/2014,14,8,41.1385994,-73.9227982,"(41.1385994, -73.9227982)",,
Beaver Lake,Broome,7,2014,C,7/7/2014,10/16/2014,14,6,42.0455017,-75.6657028,"(42.0455017, -75.6657028)",,
Tomahawk Lake,Orange,3,2013,HT,7/17/2013,10/20/2013,14,3,41.4091988,-74.2233963,"(41.4091988, -74.2233963)",,
Peach Lake,Westchester,3,2013,HT,7/10/2013,10/13/2013,14,9,41.362999,-73.5800018,"(41.362999, -73.5800018)",,
Mill Pond (Watermill),Suffolk,1,2013,C,7/15/2013,10/21/2013,14,10,40.9145012,-72.3582993,"(40.9145012, -72.3582993)",,
Titus Lake,Delaware,4,2013,C,7/11/2013,10/20/2013,14,5,42.5017014,-74.7127991,"(42.5017014, -74.7127991)",,
Agawam Lake,Suffolk,1,2013,HT,7/15/2013,10/21/2013,14,8,40.8744011,-72.3921967,"(40.8744011, -72.3921967)",,
Allegheny Reservoir,Cattaraugus,9,2013,S,7/10/2013,10/14/2013,14,8,42.05595,-78.89069,"(42.05595, -78.89069)",,
Bedford Lake,Westchester,3,2012,C,7/22/2012,10/27/2012,14,1,41.1948013,-73.7036972,"(41.1948013, -73.7036972)",,
Eagle Pond,Franklin,5,2012,S,6/22/2012,9/29/2012,14,1,44.6689987,-74.2738037,"(44.6689987, -74.2738037)",,
Lake Pleasant,Hamilton,5,2012,S,7/15/2012,10/20/2012,14,1,43.4872017,-74.3638,"(43.4872017, -74.3638)",,
Evens Lake,Sullivan,3,2018,C,6/29/2018,9/29/2018,13,4,41.765001,-74.652425,"(41.765001, -74.652425)",,
Chodikee Lake,Ulster,3,2018,C,7/20/2018,10/20/2018,13,2,41.7727013,-73.9838028,"(41.7727013, -73.9838028)",,
Cayuga Lake,Cayuga,7,2018,HT,7/6/2018,10/2/2018,13,11,42.705718,-76.696105,"(42.705718, -76.696105)",,
Morningside Lake,Sullivan,3,2018,S,7/13/2018,10/13/2018,13,2,41.75116,-74.651001,"(41.75116, -74.651001)",,
Kinderhook Lake,Columbia,5,2018,C,6/29/2018,9/29/2018,13,3,42.34812,-73.66359,"(42.34812, -73.66359)",,
Brooks Lake,Richmond,2,2017,HT,7/28/2017,10/27/2017,13,3,40.6244011,-74.1203003,"(40.6244011, -74.1203003)",,
Oneida Lake,Madison,7,2017,HT,6/30/2017,10/2/2017,13,7,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Lake Rippowam,Westchester,3,2017,C,7/21/2017,10/20/2017,13,1,41.3000984,-73.5627975,"(41.3000984, -73.5627975)",,
Morningside Lake,Sullivan,3,2017,S,7/28/2017,10/27/2017,13,2,41.75116,-74.651001,"(41.75116, -74.651001)",,
Allegheny Reservoir,Cattaraugus,9,2016,C,7/29/2016,10/28/2016,13,9,42.05595,-78.89069,"(42.05595, -78.89069)",,
Golden Pond,Queens,2,2016,HT,7/29/2016,10/27/2016,13,3,40.7710991,-73.7649002,"(40.7710991, -73.7649002)",,
Lake Oscaleta,Westchester,3,2016,C,7/1/2016,10/2/2016,13,1,41.2965012,-73.5614014,"(41.2965012, -73.5614014)",,
Setauket Mill Pond,Suffolk,1,2016,C,7/1/2016,9/29/2016,13,1,40.9462013,-73.1156998,"(40.9462013, -73.1156998)",,
Honeoye Lake,Ontario,8,2016,C,7/29/2016,10/27/2016,13,9,42.7542,-77.5115967,"(42.7542, -77.5115967)",,
Owasco Lake,Cayuga,7,2016,HT,7/29/2016,10/27/2016,13,7,42.8737984,-76.5281982,"(42.8737984, -76.5281982)",,
Morningside Lake,Sullivan,3,2016,HT,7/1/2016,10/2/2016,13,2,41.75116,-74.651001,"(41.75116, -74.651001)",,
Schroon Lake,Warren,5,2015,S,7/31/2015,10/27/2015,13,1,43.7747993,-73.7779999,"(43.7747993, -73.7779999)",,
Schroon Lake,Essex,5,2015,S,7/31/2015,10/27/2015,13,1,43.7747993,-73.7779999,"(43.7747993, -73.7779999)",,
Lake Peekskill,Putnam,3,2015,C,7/31/2015,10/27/2015,13,2,41.3395004,-73.8827972,"(41.3395004, -73.8827972)",,
