Waterbody Name,County,DEC Region,Year,Bloom Type,Date of First Listing,Date of Last Listing,Number of Weeks on DEC Notification List,Number of Weeks with Updates,Latitude,Longitude,Location 1,Column1,Column2
Unnamed Pond Cameron Mills,Steuben,8,2016,HT,8/19/2016,9/2/2016,2,1,42.19094,-77.358066,"(42.19094, -77.358066)",,
Allens Pond,Otsego,4,2016,C,7/1/2016,7/15/2016,2,2,42.5640984,-75.3058014,"(42.5640984, -75.3058014)",,
Kyser Lake,Fulton,5,2015,S,9/18/2015,10/2/2015,2,1,43.0681992,-74.7705002,"(43.0681992, -74.7705002)",,
Tillson Lake,Ulster,3,2015,S,9/18/2015,10/2/2015,2,1,41.672699,-74.2482986,"(41.672699, -74.2482986)",,
Cossayuna Lake,Washington,5,2015,C,9/18/2015,10/2/2015,2,1,43.2005997,-73.4234009,"(43.2005997, -73.4234009)",,
Chodikee Lake,Ulster,3,2015,S,6/26/2015,7/10/2015,2,2,41.7727013,-73.9838028,"(41.7727013, -73.9838028)",,
Lake Katonah,Westchester,3,2015,C,9/11/2015,9/25/2015,2,1,41.2853012,-73.6549988,"(41.2853012, -73.6549988)",,
Lamoka Lake Chanel,Schuyler,8,2013,S,9/17/2013,10/2/2013,2,1,42.418768,-77.089605,"(42.418768, -77.089605)",,
Burden Lake,Rensselaer,5,2013,C,9/29/2013,10/14/2013,2,2,42.5946999,-73.5614014,"(42.5946999, -73.5614014)",,
Rockland Lake,Rockland,3,2013,S,9/19/2013,10/4/2013,2,2,41.1385994,-73.9227982,"(41.1385994, -73.9227982)",,
Lake Ontario,Orleans,8,2018,S,9/21/2018,9/29/2018,1,1,43.914122,-76.123662,"(43.914122, -76.123662)",,
Otisco Lake,Onondaga,7,2018,C,9/14/2018,9/21/2018,1,1,42.8591003,-76.2794037,"(42.8591003, -76.2794037)",,
Quaker Lake,Cattaraugus,9,2018,S,8/17/2018,8/24/2018,1,1,42.0433006,-78.8677979,"(42.0433006, -78.8677979)",,
Basic Creek Reservoir,Albany,4,2018,S,10/12/2018,10/19/2018,1,1,42.4812012,-74.0139008,"(42.4812012, -74.0139008)",,
Quaker Lake,Dutchess,3,2018,S,6/8/2018,6/15/2018,1,1,42.0433006,-78.8677979,"(42.0433006, -78.8677979)",,
Martlings Lake,Richmond,2,2018,C,9/21/2018,9/29/2018,1,1,40.6222,-74.1167984,"(40.6222, -74.1167984)",,
Lake Ontario,Wayne,9,2018,S,8/17/2018,8/24/2018,1,1,43.914122,-76.123662,"(43.914122, -76.123662)",,
Vandercamp Lake,Oswego,7,2018,S,3/8/2018,3/15/2018,1,1,40.8328,-73.10937,"(40.8328, -73.10937)",,
Alcove Reservoir,Albany,4,2018,S,12/10/2018,12/17/2018,1,1,42.4768982,-73.9375992,"(42.4768982, -73.9375992)",,
Allegheny Reservoir,Cattaraugus,9,2018,S,10/12/2018,10/19/2018,1,1,42.05595,-78.89069,"(42.05595, -78.89069)",,
Wildwood Lake,Suffolk,1,2018,S,10/12/2018,10/19/2018,1,1,40.89548,-72.674984,"(40.89548, -72.674984)",,
Whitney Point Reservoir,Broome,7,2018,S,6/29/2018,7/6/2018,1,1,42.32912,-75.96575,"(42.32912, -75.96575)",,
Fresh Pond (Shelter Island),Suffolk,1,2017,S,7/14/2017,7/21/2017,1,1,41.057541,-72.335788,"(41.057541, -72.335788)",,
Duane Lake,Schenectady,4,2017,C,9/22/2017,10/2/2017,1,1,42.7490997,-74.1126022,"(42.7490997, -74.1126022)",,
Secor Lake,Putnam,3,2017,S,8/4/2017,8/11/2017,1,1,41.3765984,-73.7873001,"(41.3765984, -73.7873001)",,
Brown's Pond,Orange,3,2017,S,9/22/2017,10/2/2017,1,1,41.4740982,-74.0867996,"(41.4740982, -74.0867996)",,
Cannonsville Reservoir,Delaware,4,2017,S,10/20/2017,10/27/2017,1,1,42.1063004,-75.2809982,"(42.1063004, -75.2809982)",,
Wilcox Memorial Park Pond,Dutchess,3,2017,HT,8/18/2017,8/25/2017,1,1,41.95313,-73.7264511,"(41.95313, -73.72645113)",,
Silver Lake,Westchester,3,2017,S,10/21/2017,10/27/2017,1,1,41.0475006,-73.7468033,"(41.0475006, -73.7468033)",,
Lake Tiorati,Orange,3,2017,S,10/20/2017,10/27/2017,1,1,41.2616997,-74.0878983,"(41.2616997, -74.0878983)",,
China Pond,Putnam,3,2017,C,9/22/2017,9/29/2017,1,1,41.4418983,-73.7434998,"(41.4418983, -73.7434998)",,
Hyde Lake,Jefferson,6,2017,S,8/19/2017,8/25/2017,1,1,44.2435989,-75.8331985,"(44.2435989, -75.8331985)",,
Wyomoco Pond,Wyoming,8,2017,S,4/8/2017,4/15/2017,1,1,42.7661018,-78.2934036,"(42.7661018, -78.2934036)",,
Oneida Lake,Oneida,6,2016,S,7/29/2016,8/5/2016,1,1,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Lake Casse,Putnam,3,2016,S,8/12/2016,8/19/2016,1,1,41.3862991,-73.7099991,"(41.3862991, -73.7099991)",,
